Year	Jan.Temp	July.Temp
1937	-3.8	17.1
1938	3.3	17.5
1939	4.6	16.4
1940	4.5	17.4
1941	5.4	18.7
1942	2.9	18.7
1943	-0.6	17.4
1944	4.1	17.8
1945	4.8	17.5
1946	4.4	17.2
1947	0.5	17.4
1948	3.4	17
1949	-1.4	16.6
1950	-6.3	17.3
1951	2.5	18
1952	1.7	17.7
1953	5.9	17.8
1954	0.5	15.6
1955	3.6	15.8
1956	3	18.3
1957	-1.1	16.4
1958	6	20.6
1959	3.8	18.1
1960	2.7	18.6
1961	4.9	18.8
1962	2.9	17.2
1963	0.7	16.2
1964	4.5	16.1
1965	2.1	17.6
1966	2.9	16
1967	4.5	17.5
1968	3.8	17.9
1969	-2.9	17.1
1970	3.1	17.1
1971	2.2	17.2
1972	0.7	16.9
1973	2.3	16.8
1974	2.6	15.9
1975	2.4	18
1976	4.3	16.9
1977	2.3	16.6
1978	3.5	18.1
1979	0.2	17.9
1980	0.5	16.6
1981	5.5	17.1
1982	1.9	17
1983	6.3	16.6
1984	4.4	17.2
1985	1.5	19.3
1986	6.1	16.2
1987	4.4	17.5
1988	3.5	17.6
1989	3.5	17.3
1990	4.4	18.7
1991	1.6	17.8
1992	5.8	18.4
1993	-0.4	16.4
1994	6.3	18.5
1995	4.5	18.5
1996	2.9	18.2
1997	3.9	17.7
1998	4.5	19.3
1999	5	16.6
2000	3.5	17.5
2001	5.1	17.2
2002	4.2	17.9
2003	6.4	19.1
2004	4.1	19.7
2005	3.7	18.1
2006	6.3	18.7
2007	3	18.8
2008	2.8	17.8
2009	2.1	19.6
2010	7.2	18.1
2011	4.2	17.2
2012	3.6	17.7
2013	2.8	18.3
2014	4.4	19
2015	5.6	19.4
2016	4.7	18.3
2017	1.9	18.3
2018	5.4	19.1
2019	5	18.5
2020	4.6	17.5	
